page_id,text,label,Pattern Category,cleaned_text
1414,Only 7 left in stock.,1,Scarcity,Only 7 left in stock.
1736, Cases for Magsafe Refine by Product Type: Cases for Magsafe ,0,Not Dark Pattern,Cases for Magsafe Refine by Product Type: Cases for Magsafe
1386,8 items left,1,Scarcity,8 items left
714,Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,0,Not Dark Pattern,Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading
133,Nursing chairs,0,Not Dark Pattern,Nursing chairs
368,"NO THANKS, I DON’T MIND MISSING OUT",1,Misdirection,"NO THANKS, I DON’T MIND MISSING OUT"
946,Items in your cart are in high demand.,1,Scarcity,Items in your cart are in high demand.
1604,Wallets ,0,Not Dark Pattern,Wallets
235,"Someone from Portland, United States (US) purchased MODALERT recently.",1,Social Proof,"Someone from Portland, United States (US) purchased MODALERT recently."
941,Strong demand! Complete your order before it's too late!,1,Scarcity,Strong demand! Complete your order before it's too late!
360,"No thanks, I’d rather pay full price.",1,Misdirection,"No thanks, I’d rather pay full price."
179,2 viewed per hour,1,Social Proof,2 viewed per hour
133,1 other customers have this item in their shopping cart,1,Social Proof,1 other customers have this item in their shopping cart
1533,"HURRY, LOW IN STOCK!",1,Scarcity,"HURRY, LOW IN STOCK!"
782," To enable notifications, click 'Allow' when prompted. ",0,Not Dark Pattern,"To enable notifications, click 'Allow' when prompted."
188,Stay Connected,0,Not Dark Pattern,Stay Connected
1325,Hurry! Only 15 left!,1,Scarcity,Hurry! Only 15 left!
387,"No thanks, I don't like promotions and exclusive content.",1,Misdirection,"No thanks, I don't like promotions and exclusive content."
1736, Glows In The Dark ,0,Not Dark Pattern,Glows In The Dark
898,"You may cancel your JustFab VIP Membership at any time. There is absolutely no cancellation fee. If you would like to continue receiving selections, then just skip the month by clicking Skip This Month in your Boutique between the 1st and the 5th of the month. You won't be charged and no member credit will be generated for you. If you no longer want to skip the month, then call our Fashion Consultants on 020 36953830 (local rate) Mon-Fri 8:00AM to 8:00PM and Sat-Sun 10:00AM to 6:00PM or cancel your membership via chat.",1,Obstruction,"You may cancel your JustFab VIP Membership at any time. There is absolutely no cancellation fee. If you would like to continue receiving selections, then just skip the month by clicking Skip This Month in your Boutique between the 1st and the 5th of the month. You won't be charged and no member credit will be generated for you. If you no longer want to skip the month, then call our Fashion Consultants on 020 36953830 (local rate) Mon-Fri 8:00AM to 8:00PM and Sat-Sun 10:00AM to 6:00PM or cancel your membership via chat."
1736, PopTop Refine by Product Type: PopTop ,0,Not Dark Pattern,PopTop Refine by Product Type: PopTop
87,Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),1,Social Proof,Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired)
249,13 people have added this to their cart,1,Social Proof,13 people have added this to their cart
1125,ONLY 1 LEFT IN STOCK!,1,Scarcity,ONLY 1 LEFT IN STOCK!
1736,"For instance, we use cookies allowing us to remember information provided by the users from a page to another, choices made by users and information provided by users (name, language preference, country of residence…). In particular, we use the following functional cookies: ",0,Not Dark Pattern,"For instance, we use cookies allowing us to remember information provided by the users from a page to another, choices made by users and information provided by users (name, language preference, country of residence…). In particular, we use the following functional cookies:"
1109,Limited stock!,1,Scarcity,Limited stock!
1604,This chart should be used as a guide only. Due to each manufacturer’s size scale inconsistencies may occur.,0,Not Dark Pattern,This chart should be used as a guide only. Due to each manufacturer’s size scale inconsistencies may occur.
179,Expand My eBay,0,Not Dark Pattern,Expand My eBay
280,jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,1,Social Proof,jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago
998,Ends Sunday! $200 off any mattress . free shipping & free returns!,1,Urgency,Ends Sunday! $200 off any mattress . free shipping & free returns!
1583,94% offers claimed. Hurry up!,1,Scarcity,94% offers claimed. Hurry up!
1736,Product Recycling,0,Not Dark Pattern,Product Recycling
1592,In Stock. Only 1 Left!,1,Scarcity,In Stock. Only 1 Left!
1627,Only 65 Items Left.,1,Scarcity,Only 65 Items Left.
459,I Don't Like to Save Money,1,Misdirection,I Don't Like to Save Money
1736,Report a Fake Product,0,Not Dark Pattern,Report a Fake Product
919, How to Recycle ,0,Not Dark Pattern,How to Recycle
457,"No thanks, I'm not interested in saving money.",1,Misdirection,"No thanks, I'm not interested in saving money."
1604,By Brand All Men's Brands ,0,Not Dark Pattern,By Brand All Men's Brands
1604, School Shoes,0,Not Dark Pattern,School Shoes
1736, Price Low To High ,0,Not Dark Pattern,Price Low To High
473,"No thanks, I'll be the last to know.",1,Misdirection,"No thanks, I'll be the last to know."
917,Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69,1,Sneaking,Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69
543,Hurry up! Discount Ends in DAYS HRS MINS SECS,1,Urgency,Hurry up! Discount Ends in DAYS HRS MINS SECS
179, Worldwide ,0,Not Dark Pattern,Worldwide
266,715 people have added this item to cart,1,Social Proof,715 people have added this item to cart
1736, Black / White Refine by Color: Black / White ,0,Not Dark Pattern,Black / White Refine by Color: Black / White
133,RegionBracket Right,0,Not Dark Pattern,RegionBracket Right
96,Someone in Egypt bought,1,Social Proof,Someone in Egypt bought
188,"mark in richmond hill, United States purchased a Fugoo Tough 11 minutes ago",1,Social Proof,"mark in richmond hill, United States purchased a Fugoo Tough 11 minutes ago"
1604,"This genuine Spanish espadrille impressed our buyers so much they ordered them in a variety of gorgeous colours. With its uncomplicated design, plush leather sole and a practical platform wedge, you'll have a hard time getting through the warmer months without them. They're perfect for the beach, casual weekend barbeques or brunch with the girls.",0,Not Dark Pattern,"This genuine Spanish espadrille impressed our buyers so much they ordered them in a variety of gorgeous colours. With its uncomplicated design, plush leather sole and a practical platform wedge, you'll have a hard time getting through the warmer months without them. They're perfect for the beach, casual weekend barbeques or brunch with the girls."
1736,"Customize your phone with hundreds of grips, cases, wallets, and more.",0,Not Dark Pattern,"Customize your phone with hundreds of grips, cases, wallets, and more."
465,"No Thanks, I prefer paying full price.",1,Misdirection,"No Thanks, I prefer paying full price."
1604,Select your size below and we'll email you if it comes back in stock!,0,Not Dark Pattern,Select your size below and we'll email you if it comes back in stock!
714,You can either livechat or email our support team with any questions or concerns. We are always ready to help. ,0,Not Dark Pattern,You can either livechat or email our support team with any questions or concerns. We are always ready to help.
1484,Only 2 copies left,1,Scarcity,Only 2 copies left
1,Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,1,Social Proof,Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO
714,Romantic Ball Gown Tulle Spaghetti Sleeveless Tier Flower Dirl Dress,0,Not Dark Pattern,Romantic Ball Gown Tulle Spaghetti Sleeveless Tier Flower Dirl Dress
610,"Hurry! Sale Ends In:

02:59:50",1,Urgency,Hurry! Sale Ends In: 02:59:50
919,"Skin Concerns: Treats mild to moderate acne (including whiteheads, blackheads, pimples, and hormonal acne) and excess oiliness.",0,Not Dark Pattern,"Skin Concerns: Treats mild to moderate acne (including whiteheads, blackheads, pimples, and hormonal acne) and excess oiliness."
782,"We are one of the best online printing technology & solution company successfully serving local and international customers to cherish the joy, love and precious moments in life with various products. Being an instrument to spread your joy and love in a beautiful way we take pride in providing the best quality services. ",0,Not Dark Pattern,"We are one of the best online printing technology & solution company successfully serving local and international customers to cherish the joy, love and precious moments in life with various products. Being an instrument to spread your joy and love in a beautiful way we take pride in providing the best quality services."
36,38 people are viewing this,1,Social Proof,38 people are viewing this
1565,10 SEATS LEFT,1,Scarcity,10 SEATS LEFT
188, Terms of Service ,0,Not Dark Pattern,Terms of Service
919,"We combined powerful, yet gentle acne-fighting ingredients with our own unique plant-based complexes to help reduce irritation and redness associated with acne and breakouts. The result? Skin that’s nourished, smooth, and most importantly, clear!",0,Not Dark Pattern,"We combined powerful, yet gentle acne-fighting ingredients with our own unique plant-based complexes to help reduce irritation and redness associated with acne and breakouts. The result? Skin that’s nourished, smooth, and most importantly, clear!"
1305,"Only 2 left, order soon",1,Scarcity,"Only 2 left, order soon"
1545,Low in stock,1,Scarcity,Low in stock
1736,Website Accessibility,0,Not Dark Pattern,Website Accessibility
249,Grocery & Liquor,0,Not Dark Pattern,Grocery & Liquor
1604, Tony Bianco ,0,Not Dark Pattern,Tony Bianco
1095,HURRY! ONLY 19 LEFT IN STOCK.,1,Scarcity,HURRY! ONLY 19 LEFT IN STOCK.
1604,Cross Body,0,Not Dark Pattern,Cross Body
782, Show Password ,0,Not Dark Pattern,Show Password
1765,Did you know that Shaver heads need replacing every 12 - 18 months? Get the Shaver Guard cleaning spray to extend its life for up to another 6 months!,1,Misdirection,Did you know that Shaver heads need replacing every 12 - 18 months? Get the Shaver Guard cleaning spray to extend its life for up to another 6 months!
116,Get it fast! 14 added to bag today,1,Social Proof,Get it fast! 14 added to bag today
1736,User interface customization persistent cookies are used to store a user’s preference regarding a service. Please note that these cookies are exempt from consent.,0,Not Dark Pattern,User interface customization persistent cookies are used to store a user’s preference regarding a service. Please note that these cookies are exempt from consent.
714,Elegant A Line Chiffon V-neck Long Sleeve Bridesmaid Dress with Pleats and Ruching,0,Not Dark Pattern,Elegant A Line Chiffon V-neck Long Sleeve Bridesmaid Dress with Pleats and Ruching
240,"Laurie in Urraween, Queensland bought No Brainer USB Charging Anti-Theft Backpack",1,Social Proof,"Laurie in Urraween, Queensland bought No Brainer USB Charging Anti-Theft Backpack"
392,"No, thanks. I'd prefer not to save.",1,Misdirection,"No, thanks. I'd prefer not to save."
251,"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes",1,Social Proof,"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes"
408,"No thanks, I want to pay full price",1,Misdirection,"No thanks, I want to pay full price"
782, Subscribe To Us Subscribe ,0,Not Dark Pattern,Subscribe To Us Subscribe
133,"Sign up for the latest updates, products and offers",0,Not Dark Pattern,"Sign up for the latest updates, products and offers"
919,Great choice!,0,Not Dark Pattern,Great choice!
1604, All Men's Brands ,0,Not Dark Pattern,All Men's Brands
919,The best!,0,Not Dark Pattern,The best!
1736, Flex Mount ,0,Not Dark Pattern,Flex Mount
133,Wall art,0,Not Dark Pattern,Wall art
714,Casual Sheath Chiffon Sequins Straps V-neck Sleeveless Bridesmaid Dress,0,Not Dark Pattern,Casual Sheath Chiffon Sequins Straps V-neck Sleeveless Bridesmaid Dress
1736,NO THANKS,1,Misdirection,NO THANKS
782, Continue with Facebook Continue with Google ,0,Not Dark Pattern,Continue with Facebook Continue with Google
1736, PopGrip Antimicrobial Refine by Product Type: PopGrip Antimicrobial ,0,Not Dark Pattern,PopGrip Antimicrobial Refine by Product Type: PopGrip Antimicrobial
1771,SUPPORT THE AMERICAN SUPRESSOR ASSOCIATION,1,Sneaking,SUPPORT THE AMERICAN SUPRESSOR ASSOCIATION
244,Someone in Pittsworth bought a Ultimate COLT Anal Training Kit 2 hours ago,1,Social Proof,Someone in Pittsworth bought a Ultimate COLT Anal Training Kit 2 hours ago
